Employee_ID,Cluster,Job_Family,Age_Bucket,Generation,Gender,Tenure_Bucket,Grade_Bucket,Latest_Rating,No_Of_Promos,Compensation_Ratio_Bucket,Team_Change,Title_Change,Manager_Change,Total_Span,Manager_Age,Manager_Gender,Manager_Generation,Manager_Tenure_Bukcet,Manager_Total_Span,Manager_latest_Rating,Manager_Grade_Bucket,latest_Increment,Career Development,Change Management,Collaboration,Commit,Communication,Enabling Infrastructure,Ethics,Inclusion & Diversity,Leadership,Openness,People Manager,Performance,Respect,Role Clarity,Strategy & Direction,Talent & Staffing,Total Rewards,Values - Audacity,Values - Bias for Action,Values - Customer First,Work-Life Balance,NPS_Score,TSLP Bucket,Employee Status,Emp Stat
136794,Flipkart Group,Fire Safety and Security,40-44 Years,Gen X,M,1-2 Yrs,8--9,ME,0,0.7 - 0.8,0,0,1,0,41,M,Gen Y,3-4 Yrs,6,ME,8--9,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
136863,Flipkart Group,Fire Safety and Security,40-44 Years,Gen Y,M,1-2 Yrs,8--9,ME,0,0.7 - 0.8,0,0,4,0,40,M,Gen Y,1-2 Yrs,4,ME,10--11,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
137316,Flipkart Group,Ethics & Compliance,40-44 Years,Gen X,M,1-2 Yrs,10--11,ME,0,0.6 - 0.7,0,0,0,0,42,M,Gen X,2-3 Yrs,8,EE,14--15,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
134187,IT,IT Mobility,35-39 Years,Gen Y,M,1-2 Yrs,8--9,ME,0,0.7 - 0.8,1,0,0,0,44,M,Gen X,2-3 Yrs,4,ME,12--13,8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
137536,Flipkart Group,Treasury and Insurance,25-29 Years,Gen Y,M,1-2 Yrs,10--11,OP,0,0.7 - 0.8,0,0,0,0,34,M,Gen Y,4-5 Yrs,7,EE,12--13,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
137604,Flipkart Corp,Planning,30-34 Years,Gen Y,M,1-2 Yrs,10--11,ME,0,0.9 - 1,1,0,1,0,39,M,Gen Y,Above 5 Yrs,2,ME,12--13,7.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
134355,UAR,Software Development Engineering,25-29 Years,Gen Z,M,1-2 Yrs,8--9,ME,0,0.9 - 1,3,0,4,0,34,M,Gen Y,2-3 Yrs,19,ME,12--13,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
134366,UAR,Software Development Engineering,25-29 Years,Gen Z,M,1-2 Yrs,8--9,ME,0,0.9 - 1,3,0,2,0,38,M,Gen Y,1-2 Yrs,11,ME,12--13,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
137745,Flipkart Group,Fire Safety and Security,35-39 Years,Gen Y,M,1-2 Yrs,8--9,EE,0,0.7 - 0.8,0,0,1,0,40,M,Gen Y,1-2 Yrs,4,ME,10--11,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
134430,UAR,Software Development Engineering,25-29 Years,Gen Y,F,1-2 Yrs,8--9,ME,0,0.9 - 1,1,0,3,0,30,M,Gen Y,6 Months - 1 Yr,21,ME,12--13,7.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
137794,CISO,Security Analysis,25-29 Years,Gen Z,M,1-2 Yrs,8--9,EE,0,0.8 - 0.9,0,0,2,0,40,M,Gen Y,1-2 Yrs,14,EE,12--13,9.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
137795,CISO,Security Analysis,25-29 Years,Gen Y,M,1-2 Yrs,8--9,EE,0,0.8 - 0.9,0,0,2,0,40,M,Gen Y,1-2 Yrs,14,EE,12--13,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
125032,IT,Program Manager - IT,35-39 Years,Gen Y,M,2-3 Yrs,8--9,ME,0,1+,0,0,0,0,40,M,Gen Y,Above 5 Yrs,9,EE,14--15,7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
137990,eKart,Control Tower,30-34 Years,Gen Y,M,1-2 Yrs,10--11,ME,0,0.7 - 0.8,0,0,0,0,38,M,Gen Y,2-3 Yrs,9,EE,12--13,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
138084,Flipkart Corp,Risk Management & Assurance,30-34 Years,Gen Y,M,1-2 Yrs,10--11,EE,0,0.7 - 0.8,0,0,2,0,42,M,Gen X,6 Months - 1 Yr,8,ME,16 & Above,10.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
128375,CFP,Software Development Engineering,25-29 Years,Gen Y,M,1-2 Yrs,8--9,ME,0,0.9 - 1,1,0,2,0,44,M,Gen X,3-4 Yrs,16,EE,12--13,7.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
138421,Flipkart Corp,Risk Management & Assurance,30-34 Years,Gen Y,F,1-2 Yrs,8--9,EE,0,0.7 - 0.8,0,0,1,0,37,M,Gen Y,3-4 Yrs,2,EE,12--13,11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
138541,Flipkart Group,Fire Safety and Security,25-29 Years,Gen Y,M,1-2 Yrs,8--9,ME,0,0.6 - 0.7,0,0,1,0,36,M,Gen Y,Above 5 Yrs,7,ME,10--11,11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
128443,eKart,Lean,35-39 Years,Gen Y,M,2-3 Yrs,10--11,EE,0,0.7 - 0.8,0,0,0,0,41,M,Gen Y,Above 5 Yrs,7,ME,12--13,9.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
134963,Flipkart Group,Fire Safety and Security,40-44 Years,Gen Y,M,1-2 Yrs,8--9,ME,0,0.8 - 0.9,0,0,1,0,42,M,Gen X,Above 5 Yrs,4,ME,10--11,7.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
135015,Flipkart Group,Ethics & Compliance,35-39 Years,Gen Y,M,1-2 Yrs,10--11,ME,0,0.7 - 0.8,1,0,1,0,34,M,Gen Y,4-5 Yrs,8,OP,14--15,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
138765,UAR,Data Scientist,25-29 Years,Gen Y,F,1-2 Yrs,8--9,ME,0,0.8 - 0.9,2,0,1,0,38,M,Gen Y,2-3 Yrs,10,EE,14--15,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
138821,FPG,Software Development Engineering,20-24 Years,Gen Z,M,1-2 Yrs,8--9,ME,0,0.9 - 1,0,0,1,0,31,M,Gen Y,1-2 Yrs,10,EE,12--13,7.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
128620,eKart,Design - Process Design,25-29 Years,Gen Y,M,1-2 Yrs,10--11,OP,0,0.9 - 1,0,0,2,0,38,M,Gen Y,Above 5 Yrs,2,EE,12--13,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
138872,Flipkart Group,Legal,25-29 Years,Gen Y,M,1-2 Yrs,8--9,ME,0,0.7 - 0.8,0,0,1,0,51,M,Gen X,1-2 Yrs,7,EE,14--15,9.3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
128684,UAR,Software Development Engineering,20-24 Years,Gen Z,M,6 Months - 1 Yr,8--9,ME,0,0.8 - 0.9,0,0,0,0,31,M,Gen Y,2-3 Yrs,12,EE,12--13,7.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,< 1Year,Active,Active
128692,FSG,Software Development Engineering,20-24 Years,Gen Z,M,6 Months - 1 Yr,8--9,ME,0,0.8 - 0.9,0,0,0,0,41,M,Gen Y,2-3 Yrs,23,ME,12--13,7.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,< 1Year,Active,Active
135210,Flipkart Group,Fire Safety and Security,30-34 Years,Gen Y,M,1-2 Yrs,8--9,OP,0,0.7 - 0.8,0,0,1,0,37,M,Gen Y,1-2 Yrs,4,ME,10--11,13.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
135337,CDO&M3,Business Development,30-34 Years,Gen Y,M,1-2 Yrs,10--11,EE,0,0.8 - 0.9,1,0,3,0,39,M,Gen Y,Above 5 Yrs,9,EE,12--13,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
